buy_month	sell_month	pints_purchased	expected_profit
7	12	257838	114385.70329200008
6	12	249041	76364.43799400018
8	12	246232	64225.677488
9	12	243084	50618.35365600001
7	11	264662	48634.289120000096
6	11	255401	11942.550760000091
10	12	233404	8783.926136000142
8	11	252448	242.35007999990603
5	12	228916	-10613.91925599998
9	11	249140	-12865.589599999867
7	10	271857	-49597.59108000004
10	11	238982	-53111.35967999973
5	11	234279	-71745.60095999987
11	12	212657	-80887.49246199991
6	10	262095	-83723.62680000004
4	12	210749	-89131.23157399989
7	9	279454	-91096.41492000011
8	10	258986	-94592.04664000023
3	12	208359	-99463.502394
7	8	287488	-104450.14015999997
9	10	255506	-106760.62704000011
6	9	269150	-124611.06699999998
8	9	265872	-135270.35616000017
6	8	276594	-138385.51007999998
4	11	215287	-146997.96359999996
3	11	212793	-156879.51131999987
3	4	250037	-157257.27063199997
5	10	239900	-161318.3560000001
6	7	284462	-186277.09608000002
2	12	187765	-188472.12298999995
5	9	245796	-200564.62008000014
5	8	251990	-215028.10679999992
1	2	208281	-226605.5623799999
4	5	247221	-228283.8713999999
4	10	220023	-230804.12699999998
5	6	265364	-232071.43256000002
3	5	243938	-238532.33392
3	10	217419	-239908.8213600001
2	11	191358	-241807.62312000003
2	3	225947	-247714.73397999993
1	12	172378	-254975.67674799988
2	4	220955	-255277.26588000002
5	7	258504	-260530.67136000007
4	9	224973	-268289.30142000003
3	9	222251	-277142.55197999993
4	8	230151	-283058.11188000004
3	8	227303	-291929.7889599999
4	6	241256	-301835.3816
1	11	175401	-305029.35503999994
3	6	238129	-310886.9346599999
2	10	195091	-317967.11544
1	3	204031	-320683.68394
2	5	216178	-325183.59471999994
1	4	199952	-326068.92467199994
4	7	235573	-326127.26119999995
3	7	232590	-334659.79560000007
2	9	198973	-352854.73874000006
2	8	203012	-367597.8886400001
1	10	178533	-375854.8129200001
2	6	211604	-387645.8317600001
1	5	196032	-388072.78848000005
2	7	207219	-407235.06756
1	9	181778	-408778.73084
1	8	185144	-423261.40128
1	6	192263	-443616.11042
1	7	188636	-460392.56703999994
